Name,r,d,D,Moment X Component (N m) ,Equivalent Stress Maximum (Pa) ,Life Minimum,Safety Factor
1,1,20,40,625,263093190.2,15567.39808,0.411170802
2,1.5,34.34,60.59,923.1933548,85016398.53,1000000,1.272416143
3,1.5,29.68,48.28,301.6634626,40216226.17,1000000,2.689865464
4,2.5,20.32098042,66.43524561,313.4840035,92696715.72,1000000,1.166991053
5,4,28.82,35.83518994,327.6711825,30579158.39,1000000,3.537580613
6,4,34.65,49.34,887.4720359,52657313.17,1000000,2.054344048
7,3.5,23.38969917,37.93797917,899.1374603,160350361,118331.2818,0.674624224
8,2.5,20.32034667,69.5300471,938.817418,281414044.7,11876.63545,0.384402413
9,1,20.70324804,66.94787473,309.359816,123714222.5,438390.2352,0.874404217
10,4,26.19,35.61573893,304.2737374,37584677.5,1000000,2.878200508
11,1.5,37.39,59.65,915.1309113,65094315.76,1000000,1.661838467
12,2,29.65,55.32,347.7186427,40920357.59,1000000,2.643579975
13,3.5,21.8257148,36.727935,330.4082875,71363111.39,1000000,1.515856523
14,2.5,37.42231557,53.87269856,545.0018638,30757826.2,1000000,3.517031313
15,3,36.68,42.53,812.1429546,41714057.9,1000000,2.59328014
16,2,31.31182688,49.69485662,941.9808581,96091042.18,1000000,1.125768182
17,3.5,29.8384442,53.44,753.2352469,71030614.08,1000000,1.522952311
18,1.5,29.45090673,65.34487376,684.9392726,94290825.64,1000000,1.147261541
19,3,31.02673065,48.85681953,310.0033352,27186362.52,1000000,3.979062583
20,3,21.35118825,48.35474093,671.5733484,160573077.3,117680.2874,0.673688514
21,1,48.00237412,50.70091542,566.1452125,15354940.91,1000000,7.045044234
22,3,33.36031152,50.78444585,366.4815293,26675894.94,1000000,4.055205575
23,2,32.60503441,68.64000514,308.4509317,28802187.88,1000000,3.755834048
24,2,39.78,56.49225353,800.0115902,42490244.76,1000000,2.54590762
25,2.5,35.72419431,45.48,600.1709055,37464613.22,1000000,2.887424388
26,2.5,38.9,53.61638765,300.1586384,15257357.3,1000000,7.090103205
27,2,20.61503576,69.84520245,574.6886887,172775765.3,87736.40304,0.626107705
28,2.5,20.04941613,53.91458295,301.9209173,93060574.71,1000000,1.162428217
29,1,49.24501288,51.6578885,599.002918,14334152.75,1000000,7.54674795
30,4,20.55092894,35.64868782,916.5656254,222051966,31305.62823,0.487166315
31,1.5,36.90381004,66.92431312,938.6203027,71548708.14,1000000,1.511924404
32,1,37.19869676,39.74,306.4256805,17744365.22,1000000,6.096371246
33,2,32.31904449,36.96639841,626.6722738,50827815.87,1000000,2.128288144
34,2,27.53,49.85,564.4332052,81973625.09,1000000,1.319646871
35,2.5,39.94904446,52.46837696,921.4259326,43624457.57,1000000,2.479715369
36,2,36.73,46.96,590.3153647,36787358.37,1000000,2.940581838
37,1,35.40050654,38.65,944.4050869,63201081.47,1000000,1.711620045
38,3.5,21.11724263,35.81757709,316.5571376,74484848.66,1000000,1.452325404
39,1,34.6788013,35.86,876.9423844,46791424.86,1000000,2.311881679
40,1,22.06949904,58.03217045,932.3091206,318940403.3,7356.22048,0.339173829
41,3.5,21.49989762,54.37115492,936.8308234,210112730.8,39390.1185,0.514848565
42,1,34.9400087,67.21298254,360.0755579,37132313.71,1000000,2.913264138
43,1,45.49368356,52.6703561,944.1912759,39564445.67,1000000,2.734178025
44,2,33.73820523,49.13606423,638.1554027,51983760,1000000,2.080962168
45,1,40.25,60.64,608.8207788,42532339.09,1000000,2.543387931
46,1,35.42,65.22,592.1518519,58480200.56,1000000,1.849792526
47,3,20.23317855,53.68005708,498.4123427,136928437.3,233759.5223,0.790020247
48,1.5,21.34135169,55.44132709,567.8914786,179436303.8,75255.56182,0.602867065
49,4,20.17805077,37.51761853,603.1995186,154650739.2,136603.4653,0.699487364
50,1.5,35.74,48.56,649.3010768,50256863.49,1000000,2.152466954
